,0
376,"Namaste gagan sir , plz make the video of Isuzu v-cross🙏"
377,12:56 shut the fu*k up armrest 😂😂😂
378,Pls bring diesel engine
379,The small gap in front of the hand brake and the cup holders is for the key. Not for mobile phones
380,I'm buying it...waiting for the bookings to be opened...
381,Nice car
382,"People - Škoda Kushaq can defeat creta
Me - thinks of the time when Tata fans told the same about next gen i20 but that never happened"
383,"Sad speedo console. Smaller and cheaper vehicles have better speedo console. No thud, hard plastics, fit and finish not on par with Skoda quality,) is this the outcome of localisation? Why? Just plonking a good engine and sticking a badge won’t make it good overall. Now pricing will decide it’s worth"
384,Asp healthy ho gaye hai our mote ho gaye hai
385,Video not shoot properly I think camera focus issue 😂🤣🤣😂
386,Skoda cars are very solid
387,Better thud to apko swift me aayega bhai
388,"Skoda , Jeep , Fiat , Tata , Volkswagen , Audi , Mahindra&mahindra , Bajaj-KTM , Mercedes , GM/Great wall motors  all these auto giants have their headquarters in & around Pune & Mumbai city in Maharashtra thats why these first unvealed units of cars come with MH01 , MH02 , MH14 , MH12 , MH20 RTO registrations. The reason is Pune and surrounding area has large number of third party OEM Parts supplier Vendors. And very soon KIA Motors India & Hyundai India are also starting their manufacturing plant in Pune Maharashtra. Even Maruti Suzuki of Gurugram had finalised to start manufacturing in Pune Maharashtra but because of political influence it was started in Kapashera & Manesar in Gurgaon Haryana"
389,Will  honda civic available in india
390,"You are ""NATIONAL BRAND AMBASSADOR FOR CAR REVIEWS""...  ( ur way of explaining is great bro 👍👍 )"
391,भाई साहब पहले कैमरा थोडा दूर रखकर पूरी गाडी के सिनेमेटिक दिखाईए  कार के चारो तरफ घूमकर कवर किजिए या किसी की हेल्प लेकर भी कर सकते है
392,It sounds like *poshaq* 😂 पोशाक
393,Price kya rahega Gagan bhai ?
394,Gagan bhai kushaq mai cruise control nahi hai kya ???
395,Ford territory ka review krdo sir 🙏🏻
396,Clear nahi dikh rah Side me
397,"Price should  start from 9lk then only it can find more place among Indians, coming to rewiev its more detailed and pleasant...."
398,3:14 That Bonnet Thud 🔥🔥🔥
399,Arrree vai gari ka overall looks toh dikhao...
400,There's like 6+ inches of headroom and he says headroom is cramped? Ok quite an interesting analysis. Plus can you please confirm if all the windows are not one touch up down? The button for the windows look like it's one touch.
401,Wahhh goodyear ke tyre... Or koi company ni mili thi?
402,"गगनजी गाड़ी बहुत ही शानदार है यार डीज़ल इज़न नही आया 
हम इसके डीज़ल इज़न का इंतज़ार कर रहे थे 
अगर डीज़ल आती तो 100% लेते यार
स्कोडा के टॉप मैनेजमेंट को हमारी मांग को पहुचाओ
Plz"
403,"Gagan bhai, kal ek khatarnak Sapna dekhe yaar subeh subeh. Aap aur main ek trolley ka review kar rahe the jo shopping mart me use hoti hai, aur maze ki baat ye ki uski upyogita ko hum usme Gas Cylinder rakhke prove kar rahe the. Mazak nahi kar raha, sach me dekha. sapna."
404,"In this segment, Skoda has to get the pricing right. If it can undercut kia pricing by atleast 1.5 lakh per variant then this car can easily sell about 3000 units a month with majority of its units being sold in tier 1 cities. However SV group needs to increase dealerships to tier 2 and tier 3 cities this car will be able to sell about 35k units in a fiscal year. This should be Skodas goal."
405,What happened to illuminated grille and logo? Can I fold the rear seats?
406,Big miss by skoda in interiors...boring gray color of interiors and old fashioned analog instrument cluster..nothing special to compete with other rivals
407,There is a cruise control in the car?
408,Better name this Skoda kostkuttingq
409,Lots of love ❤️
410,Mast nahi laga
411,Price Kay hai ?
412,Namaskar dosto tera nam he gagan
413,When they'll announce the pricing!!??
414,"Look amd feel me very rich lag rhi h, mujhe lgta h seltos ko tagda competition degi."
415,"honest question, why is the title and everything else in english when the actual video is in another language? not trying to start anything just curious, good video otherwise, it looks like a nice car despite the fact that i couldnt understand anything"
416,You are definitely the most in depth Hindi car reviewer on YouTube
417,Yetoh Karoq hey . Couldn't beat Nissan Magnite's design
418,Ye car sab car ki watt laga de gi kusaq se Skoda stand ho jaega
419,2:36 fuel fill karne  ka option hain. 😂
420,Best review of kushaq... All aspects included...
421,Looks small
422,"Never buy a car that offers only a space saver spare tyre. 
Demand from the dealer that they provide you with a full size spare and if they refuse, simply walk away."
423,Will the 1.0 liter engine be priced just above Sonnet and the 1.5 liter engine at Seltos price or 1.0 liter itself will go to Seltos level on Road.. any idea?
424,Car look good not good from inside.
425,10:55 😂😂
426,"Base model should be at 9.99 lacks.
Otherwise other tincans will maintain the 1 leap ahead of it🌝"
427,"No Way !!🤢
Still SMALLER than creta?
Expected 2b bigger than Seltos, 4325 not 4225 !
Šköda ur LÖST!!
India 2.O strategy- double faliüre!!
Who d heck is Leading 2.O
Don't u remember, "" Bada hay toh Behtar hay/ Big is Better""
This is India not E.U., SAFETY 2nd priority SIZE 1st; change ur 5S strategy's From SAFETY to SIZE!!
Moreover ppl here buy ZeGalander Wagan (Merc G-wagon) for SIZE not SAFETY even at ₹25Millon.
BTW which car is 5star safe at headÖNcollision at 100km/hr in the WORLD ?"
428,"What! Front parking sensors optional hai😱  yr Tiago tk mei sensors sbhi variants mei milte hai,"
429,You really great bhai Hyundai Sonata car ki video bano
430,"if this comes at 10 l starting point,  I will sell my 2020 creta to buy this"
431,Kam se kam 22 lack se 30 tak hoge 🙄 15 mi skoda 😉😁😁😂
432,"Educated buyers will definitely prefer this over Creta and Seltos. Cars like Taigun, Karoq, T-Roc, Kushaq, Compass are pure class, safe & have unmatched turbo Petrol Engines."
433,"Why Skoda why? Why didn't you put rear disc brakes. Why :( 
With this launch it's safe to say Taigun will also miss out on rear discs."
434,What great clarity 👍 Great video
435,Diesel option hona chahiye
436,You have more views on kushaq than Autocar india... Impressive
437,"Excellent review Gagan, better than any other today on Kushaq. You have covered minute details as well. Somehow don't feel Skoda has done a wholehearted job. They should have come out full force to outsmart their rivals by providing virtual cockpit, Pano roof, paddle shifters, drive modes, rear sun blinds, all disc brakes and last but not least better boot space. Not sure this will create any dent on Koreans which are still much better equipped. Hanging on to drive and build quality alone won't get them customers I feel."
438,thank god airbags accessories main nahi lagane padhange
439,Do we get ambient lights in the package...???
440,Bhai as always most detailed and best review
441,I guess skoda is experimenting with few cost cutting and cheaper stuff to increase car sales....which is consider good because skoda ka cheap maal bhi kia aur creta ke premium maal se acha hai 🤣👍🏻
442,1.5 liter is naturally aspirated?
443,"HI gagan,  i recently bought used elite i20, Asta 2018 model, but later i found there is no map SD card in AVN. i contacted the owner he said he never used navigation system ever... i also visit nearest Hyundai center but they advise to buy new SD card which cost 9000rs, i'm not ready to spend 9000 just for maps.  is there any alternate that i can get map data and use in 3rd party SD card and use it in AVN system...pls suggest..."
444,"VERY INFORMATIVE 😊 BUT MY CONCERN WAS BACK SEAT HUMP USUALLY ALL VIDEO MAKING PEOPLE MISS THAT, I BELIVE HUMP IS NOT FOUND IN MAHENDRA & HECTOR SUV. IT IS REQUESTED ALWAYS SHOW DETAILED INFORMATION LIKE CAPLESS FUELING ALWAYS OPEN FUEL CAPS,   SHOW THE SIZE OF HUMPS IF THEY EXIST"
445,3:13 Volkswagen??
446,I see at 12 : 19
447,STOP TOUCHING THE CAR WITH THE KEYS IN HAND!
448,"No matter the features or any other gimmicks, at least it will be safest of the lot !!"
449,I think polo has better quality.
450,Pricing decides the future of this car in India.. hope it ends the monopoly of Koreans in this segment..
451,Ek bar Lamborghini urus ka review
452,"Too much of cost cutting 
🙅🏻‍♂️🙅🏻‍♂️🙅🏻‍♂️🙅🏻‍♂️🙅🏻‍♂️🙅🏻‍♂️🙅🏻‍♂️🙅🏻‍♂️🙅🏻‍♂️🙅🏻‍♂️

But lot better than Tata, Suzuki, etc and other unreliable cars."
453,Nice video bro
454,Its no competition to seltos.. Outdated..!
455,Very nicely cover details as always Gagan keep it up 👍🏻
456,3:16 Quality Speaks
457,Kya pyaari gaadi hai
458,How's bulud quality
459,"I was looking to buy a new machine.. going back & forth between the City 5th gen, Ford ecosport & bam this hit my timeline! Looks promising, hopefully they price it right. If the top end is around 18L OR, I’ll definitely be buying this."
460,"VERY DISAPPOINTING, TODAY SKODA LAUNCHED CAR INSTEAD OF SUV."
461,Bro 1.0 litre wil deliver 175 nm of torque🙏👍
462,India 2.0 Strategy still need an update for Skoda.. and if Skoda is offering this I am damn sure VW taigun will come with the same features.. have seen T-cross and Kamiq.. even after Indian manufacturing the have not come closer to the expectation of consumers.. great built but the market is very moderate. Need to understand the demand at this price Skoda could have provided imported car !! Appreciate T-Roc but that too got a massive price hike. What say Gagan Bhai?
463,"In which segment it will compete, like with venue, Ecosport,etc. or with Seltos, Creta?

For me the price range you suggested makes Venue and sonet's top trim better than Kushaq's lower ones and Kushaq top trim will be better than Creta and Seltos's lower trims."
464,It won't sell.........30% Less....just because of panaromic Sunroof............TAKE NOTE
465,Why no digital console?? This is crazy and even no panoramic sunroof !! HARD TO COMPETE WITH CRETA !!
466,Bhai scorpio ki bhi video dalo
467,Price???
468,Is car ki price pakka 17 to 23 lakh tk rahegi
469,I have VW car so I can understand quality of material and fit and finish is top notch.
470,Aap to jaldi pahoch gye bhai
471,Today Watching 4th review video of  kushaq. This is the best review among all videos i have seen. Great work done. 👍😀
472,Not enough to beat seltos tbh.
473,"Kya hoga..
I already owner of Skoda rapid since 2013..
But in uttarakhand have only one showroom ..But last month wo bhi band ho gaya . Ab kehna ye hai ki agra , lucknow , ya jao delhi .
Abe market me launch karne se phele market ho to sell kerne ke liye..
Kon lega ...???"
474,Waiting for vw taigun
475,Gagan bhai please yaar ecosport titanium 21 ka review kr do please
476,Vw is   the best car maker in the world
477,Totally different way of explanation from Bhed Chaal...
478,Bhai Scorpio par bhi video bana do plz
479,3:15 patt se headshot
480,Hmm gagan u forgot about volume nob 😂😂😂
481,Disappointed with Kushaq was expecting bigger. it's another s cross and not a rival to creata and seltos
482,"Dear Gagan, you make videos with such honesty and humbleness. I saw two more videos from motoroctane and ask carguru and both of them messed very well. Your video came late but had it’s own reputation and was the one worth waiting for. Keep it up, always ! 
Miles to go 🤟🏻👌🏻"
483,Price only choose the winner in the segment😂
484,"Skoda says that they want to achieve 5% market share of india when they can't even give the fraction of features given to car's in Europe this is so disappointing that they give all the good features to them in kushaq we don't even get panaromic sunroof,the digital cockpit, and not even soft plastic ... which is given in kamiq and still that hand pulling brake it's 2021!!! with this attitude i don't think the skoda will be able to reach even 1 percent market share, the real problem is expectations which we shouldn't have with them if we don't have them we won't be disappointed ever i had very high hopes from them, they raised up the bar very very high when I saw kamiq and then the vison in now i will never have high hopes from this brand 
🙏"
485,Maruti Swift much better than skoda kushaq and Tata harrier so far.....
486,When is the Amaze Facelift 2021 coming?
487,MID thoda old fashioned lag raha tha jo display ka UI hai usme
488,But I have made up my mind to buy 5th gen Honda City 😃
489,I must say quite a few details covered though it was a first walk-around. Its missing a few features when compared to Creta/Seltos; so prices will have to be quite a bit lower to justify equipment on offer.
490,All features that Kia Seltos provided right back in 2019.
491,This maybe better than Seltos but the 'best mid-section in terms of space utility' in the while mid-suv segment is #Kiger right now hands-down.
492,Most detail review bhai thanks
493,"6:41 ""Ignis Ka Ad aa Raha hai isme"" .. sounds like an Easter egg!"
494,"Rivalry will be really having a sip of beer thinking we have high ground clearance, bigger in dimensions and larger boot space... But keep in mind guys this is German engineering and everything in MQBA0 platform they haven't squeezed they have made really impressive build and ticked all the right boxes. The only bummer I could think of is the ground clearance considering the tag line inspired by India... Let's hope for the price to be on par..."
495,Bahi ye konsa model hai
496,No diesel version ended my hopes 😶
497,Most premium in the segment.
498,Very good review !!
499,"You were featured in its advertisement, it has to be awesome"
500,"Everything depends on pricing. If priced high, then no chance in India❗❗❗"
501,Thanks for this now i can finally buy my splender
502,Gagan bhai please review Yamaha Mt15
503,"I drive polo highline 1.2 L P. The quality is much better in polo, as I can see from the video, skoda has compromised in the quality.. Might be the Dsg model will be better in quality."
504,Nahi chalegi
505,"Disappointed that some features are missing even in the top end variant:-
1. Front parking sensor
2. Rear disc brakes
3. 360° camera
4. Electrically adjustable driver seats."
506,sab kuch optional hai 🤣🤣
507,"can we all apreciate him for staying till late for the review so that his audience gets a proper walkaround without any other reviwers voice in the background.
Kaam bade itminamn se kiya jata hai inse to kaam khoobsurat pe lagta hai apka baki sabse."
508,Expecting its sister(VW TAIGUN) would have better finishings  like better seat covers and quality btw love you gagan Sir #agbg_R.I.P.
509,Instrument console🤨
510,11:00min phone is look like thousand years old🤣🤣🤣
511,Almost all the auto reviewers covered the event and displayed the cars on their respective channels.. but the way you presented is absolutely class. Simply the best
512,"Good review.. but why are you in such a hurry 🤒.. if Skoda can make Rapid at 7 lacs, I don't see same engine to be priced from 12-17 lacs.. why do you feel so, Gagan??  any price break up to justify your suggestion... Is it because the product is new.. where is the competitive edge!! I personally feel that Skoda will loose it's market share if they still try to price this product per your suggestions... Really a competitive product.. only thing required now is pricing it well.. we all know that Skoda is an elephant in terms of cost of ownership.. if buying is equally expansive only followers would join 😀😀 jokes apart.. I hope Skoda can understand 🙏🙏"
513,Veere #JeepGrandCherokee per Ikk video bna Do😔😔...Kya #JeepGrandCherokee 🚘India Mai Aati a ha😊
514,Gaadi ki silhoutte toh dikhi nahi
515,"I think skoda will launch another premium version of kushq in later time 🧐
.
.
Like how tata did with harrier."
516,Use ultra wide camera
517,"Behatareen, shandaar, zindabad!"
518,Much premium than seltos and creta
519,Petrol me 10-11 ki mileage vaali gaddi kon lega bhaiya😂
520,Dhanta Skoda
521,"waiting for Skoda to launch a sub compact suv named ""Lassun""."
522,Back in game bhai itna late
523,Did they just Skipped Keyless entry and push button start ?
524,The interior quality according to your description disappoints.....had better expectations from skoda ... and their India 2.0 strategy would work only if they make it easier and cheaper to maintain a skoda
525,"Main allready Feb 25 ko book kardiya, yeh mara dream car hai.. apke jaisa detailed review koi nahi kiye. Spl thanks for""U"" bro ❤️"
526,My next car.... ❤️
527,"Finally a car in India worth paying for.
Thank you SKODA❤️❤️🙏"
528,Drive ka kab aayega gagan ji
529,"Came here to see biased review n Gagan didn't let me down .

Head Room cramped hai......😂😂😂😂😂😂"
530,"chunky word op  @Gagan Choudhary
 😂👍"
531,9 lakh to 12 lakh ki car hai ye
532,Nice gagan bhai
533,Ye model kamse kam 13-14 lakh ka hoga
534,Drum break no thanks
535,It will become king of the segment😎
536,How is watching in 🌃
537,Aap bhi giveaway kyo nhi krte h🙏
538,If this car come at starting price of 12 lakh and top variant around 18 lakh then it will be solid competition other wise in 20 lakh Tata harrier is tough competition for this. Creta and Seltos will suffer in sales due to this no matter what. Love the overall design.
539,"After this video, I'll watch ""How to become a millionaire in 15 days"""
540,Rear wiper shayad galti se Alto ka laga diya hai
541,"I love Skoda's 
I also have a skoda superb  I'll try to bye this muscular suv  
bhi build quality is awesome"
542,So I didn't flt a live feel
543,I cldnt c a car
544,Ampli is in the boot
545,Cruise control bhi nahi hai🤔🤔🤔🤔
546,Over all positive impressions
547,Good looking car but 😏100
548,The lighting & the focusing issue give pain to the eyes.
549,What is the price expected?
550,"No signs of 360 camera, electric tail gate ?"
551,"what happened to you bhai? atleast give 1 frame view of every angles 

ap sbki trh review kbse krne lg gye ho)"
552,Watching this video after India's first innings vs England. What a perfect time to watch this time. 15 minutes innings break enjoying with this 15 minutes video.
553,It looks an average product with European cost. Not an outstanding suv/car
554,bhai puri gadi bahar se dikhaya karo pura camera chipka dete ho
555,I am going to buy this car before 2030
556,"Diesel engine cahiye tha😑😑
People are gonna buy creta or kia instead of it then"
557,it's looking hot 🔥 🔥🔥
558,Ask car guru v yehi se shooting krke nikla hoga avi uska video aa gya
559,"Bhai saas le lo phele, itna Jaldi Kyu bol rahe ho 🤣😂"
560,Congratulations in 1 hour for 15 k and 140 comments
561,"Please As Your Big Fan I Request you Something Special Review.,
1. cadillac escalade 
2.GMC
3.chevrolet traverse"
562,I need a new car but fuel prices are scary
563,i will buy nexon than this
564,Fortuner 2021 review karo
565,sabse achi quality gagan bhai ke video ki hai.video bhi achha banaya hai
566,Big fan
567,Beqar car hai
568,Love you gagan bhai ❤
569,Very informative and detail video...I saw Motooctane and other youtubers they were very in hurry but you keep your repo.. and start with key...good job bro...
570,Lagta hai bhai ki train chut rahi thi☺️☺️
571,Kooy Shakk he muze me
572,Koi shaq
573,"Sir NYC
Good night"
574,"Wow looks amazing 😍😍
But paise hi nahi he"
575,"Finally awaited video, very nice explanation Technique"
576,Tera naam hagan hai
577,Guu kha guuu
578,"Flop hogi ye 100% , old style design n looks 👎"
579,Top varient me digital IC nahi hai bhai? Mujhe laga hoga
580,"Company should display all the variants instead of same with same variant of all colors, it is so foolish."
581,"Watched motaroctane, right now here and waiting for Faisal khan"
582,Nice review
583,No cruise control??
584,Price ?
585,"not able to buy even a bicycle.
but watching kushaq.
bcz of love. KOI SHAQ.?😂♥️♥️"
586,3:15
587,"I saw many videos today on Kushaq, but Gagan has an eye to every detail and covers very nicely👍"
588,Tyre chote hai iske bahot. Broader and probably 19 inchers would be good. Lots of space there to be utilised
589,bhaiya ek no me kabse apke video ka wait kr raha tha... skoda ne rear seat pr ek usb deni chahiye thi... or apne seat adjustment kaise krte kaha nhi...
590,🥰❤🙏
591,Creta toh khatam ab 😂😂
592,There are 2 usb type also at above the type c plug
593,"I subscribed many automobile related channels but I don't get satisfaction after viewing you vedio sir I get it , thankyou so much sir ❤️❤️❤️❤️"
594,"ese event m kese jate hai , please sir , muje bhi jana hai , how ?"
595,Bahi apke video ka bahut देर se intzar tha final aa gaye
596,Love you GAGAN sir ❤️❤️
597,"Bas price competitive honi chahhiye baki india mein sabkuch chal jayega . 
Indians need only one thing VALUE FOR MONEY"
598,Interiors looks like of Tata Nexon but lack of diesel is big mistake by skoda
599,Thar chalane ke baad to koi gadi jachta hi nhi . Gagan bhai.
600,Our kya hal chal
601,Someone always leaves their phone when gagan is reviewing a car in media
602,Gagan bhai reverse camera view nhi dikhya
603,This car can change indian suv market👍👍
604,looks like a good product lets see how public react to it !!!!
605,Sub 4 mtr. Or above 4 mtr.?
606,Bakvass car
607,"Sab auto you tubers uper upr se batate 
But Gagan bhai Details me batate
Itna details koi nhi batata 😍🙏🙏🙏💐💐♥️"
608,Nice
609,मुझे काफी अच्छी लगी कार विटारा ट्रेनो डस्टर को काट सकती है ।👍🇮🇳
610,"Sir, could you please make a video on Jeep Wrangler!❤️"
611,That bonnet thud is enough to put a dent in seltos😂😂
612,Skoda mein maruti ka ad
613,Itna late kyu kiya gagan bhai
614,Why they don't reveal price range of car at the reveal time of car?
615,Hello sir waiting for your videos to watch as you entertain us . and continue this field as it is such a vast . Greetings from nagpur
616,Hii! Please make video on bently continental GT also please.
617,Creta and Seltos: (Chuckles)I'm in danger
618,KIA ka design hai .... ya skoda ka design chori hoga tha 🤣🤣🤣
619,👌👌👌
620,"Sir aapne sab gaadi ka review Kiya lekin in gaadiyo ka kabhi nahi Kiya - Scorpio, Innova, Fortuner,Ertiga, please Inka bhi review Kar dijiye🙏"
621,"Lovely looking 
#balvantchauhan"
622,"Hello sir ,
Why you not show up too know 
The new TOYOTA FORTUNE TOP MODEL"
623,"only 0.01% watched it after 5 mins
lucky 0.01%"
624,That bonnet thud from kushaq is enough to put a dent in creta😂😂
625,"First of kind on Gagannn bro youtu channel

Thank you

God  bless ya"
626,Love from indore
627,Bhai new 2021 model Scorpio dikhao plz🤗😍
628,G bhp???
629,I am confuse
630,"Abhi abhi to launch hua🥺🥺 itni zaldi video bana ke edit krke upload bhi

Faster then 5G"
631,Tell please which should I buy
632,I felt like I was in front of the car ❤️
633,Love from Karnataka
634,Massive cruise to buy
635,We are getting more information about cars because of your videos love you bhai
636,Please suggest me I buying fortuner Endevour or Mg gloster
637,Nice car
638,Kafi wait karaya bhai aap ne
639,"Boot space is less than expected 😬😬😬😬😬
Smaller than its rivals..."
640,1st
641,❤❤🔥🔥
642,Mg Gloster kab launch hogi
643,1 st viewer
644,1 st view
645,Waw bhai
646,Sar supar video your
647,Just saw your post on Instagram and now watching video
648,1st viewers .. love 💕 from patna ❤️
649,1st view
650,Finally I will be the first Gagan ji
651,Because I’m your biggest fan 🤩
652,U have one of the best style to explain things 👍🏻
653,Bhai aap Bahar gye ho Kya ??
654,Always waiting for your review 👍
655,Sir was waiting for this video 😊
656,Love you Gagan
657,Bhai really love all your videos
658,1st view sirji....love from gujarat
659,FirstComment❤️❤️
660,Hello sir
661,Sir I’m the first i want a shoutout
662,1st comment
663,"1st view
yaayyy"
664,Nice
665,Sir🙏
666,"Nice, 🙏😍😍😍😍🙏😍🙏"
667,1 st vew
668,1st
669,Love From Dhanbad Jharkhand ❤️
670,First view sir
671,I like it
672,"Whatever is the Specs they provide, but they have ""Good Year "" Tyers then it's now Bhagwan Bharosa 
Chale to chaand tak nai tho Raat tak wala. 

The most hopeless and useless tyers company is ""Good Year"""
673,Only in  petrol. No diesel. If it's coming in diesel than it's compete with others. Good looks.
674,Looks like premium
675,If it comes under 15lak ill sell rapid and buy this 👍🏻
676,"Telephone......No No......Mobile phone controls bro.
Telephone sound so cheap"
677,It's price in india is 1 million
678,No electric hand brake 🙄
679,"Sir please suggest my budget is 13laks I'm very confused in buying suv
Sonet htx dct and nexon xz .
We generally use car weekly twice only"
680,"Now confusion increased 
Skoda kushaq, kia seltos , MG hector , and tata harrier 
Which is better 😅"
681,Expected launch date?
682,"Interior quality seems to be low.
Price should start from 9L Max."
683,Bhai zameen pe let ke video shoot kar letaa
684,Sab reviews dekho par asli samajh tera video dekh ke hi aati hai. Now tell us Creta ya Kushaq? :)
685,I am interested this car
686,Very true ..price..as we know manufactured in India..but if they fix even more than 15lakhs then sales figure wil drastically come down...
687,😍
688,Far better than creata and kia seltos
689,boot space is kinda less
690,ugh! interoirs are a cheap shiny mess. awaiting VW Taigun!
691,Please inform about karoq launching date in india
692,If the price is under 20 lacs then this is a fabulous deal
693,Cream colour interior looks more premium than black
694,That ragged phone is v3 cars
695,I am in love with classic styling of Skoda
696,Gagan bhai ye kya Hall bna rakha hai tumne apna bhai koe NASHA TOH NAHI KARTE APNA KHAYAL RAKHNA 👍😂😂😂
697,"Bro , which camera is used in recording?"
698,Yaar camera.. Shi focus ni krta..
699,Does it have park assist??
700,Manual + 1.5 tsi is boom
701,I think price should be 9 lakh to 16 lakh because it is only available in petrol engine
702,"Bhai, mere ko ek baat batao, itna zoomed in position pe camera kyun rakha hai, overall looks dikh nahi raha"
703,Waste car
704,You are my favourite.. 👍👍
705,"Gagan sir, I am a fan of you, you explains each and every detail about the car if it belongs to the car's hardware/software/behaviour and driving pros and cons. I need your suggestion, and I feel you are the best person who can help me to buy my next compact SUV (crossover)/SUV. I am looking for an SUV which has at least a 1900 MM width. I am a bit obese boy so looking for a car in which I could feel comfortable and suits on my personality. Please suggest sir."
706,What is the safety rating of globel ncap
707,Price 9-15 lakh
708,3:43 Observe steering 😂😂
709,The rear wiper should be premium like other cars provide modern day wipers but the rear wiper looks old
710,I think kushaq price will start from 10.59 and new rapid will start from 9.5 lakh ex-showroom
711,Thoda alto quality lagray
712,I love most the Volkswagen T- Roc 1.5 TSI
713,There should be a panoramic sunroof 🙄
714,no cruise control
715,Nice video
716,"Which is technology wise better, VW, Skoda or Hundai, are spare parts of Skoda easily available, is it true that Skoda cars are costly to maintain?"
717,Not in Diesel would be deal braker for 50% buyer
718,Hope they did not compromise with the build quality in the name of cost cutting.
719,Top end price?
720,Bhai Volkswagen group DCT transmission ko DSG nhi bolta dono different gear ⚙ box ha DSG far superior then DCT
721,"Sunroof is given in middle model ,?"
722,Fit and finish is notches above creta
723,"I own a Volkswagen, quality of Skoda Volkswagen is impeccable, I had a Maruti , riding a Maruti gives a feel of a Poor mans car. Any vehicle from Skoda is sturdy, reliable and safe. The only problem is servicing. Skoda Volkswagen need to improve on that.."
724,Poor interior of car
725,Price should not exceed more than 10 lakh...if price is high then no chances most of family in india is hand to mouth
726,Thank you for the detailed tour of the car!
727,If they put up the price up then seltos or creta then they are on the lesser sales sides as their service charges are higher too similarly the case with taigun
728,First show the car fully ..your videos are so close ok
729,If diesel is not offered it can’t make it big
730,Magnite is better then khusaq
731,Still no start stop button.
732,Brother iska price kya hai
733,Skoda should launch 1.2 ltr engine rather than 1 ltr.
734,"Price will be the deciding factor, let's wait ✌🏻"
735,"Waiting for more irritating Nexon, Ecosport owners here to brag about thud sound and compare it with seltos/creta.. you guys should buy a road roller, uske toh tyre bhi iron ke hote hai.. sabko thod degi raaste mei 😀"
736,Launched in India??
737,How is skoda after sales service?
738,Your camera not Good
739,Thank you Gagan bhai
740,Very nice review🙂...Skoda kushaq is very nice car and it will compete with kia seltos and Hyundai Creta.
741,Он что нибудь про стоимость сказал?
742,3:15 ha tod de use😄
743,Subwoofer inside the spare tyre??
744,This is one of the best car build in this segement.We needs to upgrade our standard now .Don't understand why we can buy Hyundai & Maruti with low quality ? I think this will be best option for new generation. Love KUSHAQ
745,Bhai aap konsa car use karte ho
746,What are the direct competitor's for this car
747,Gagan bhaiya skoda karoq ka drive review kab ayega
748,Dream car 💯💯
749,which is better? VW Taigun or Skoda Kushaq (same engine/config)?
750,Driver 7873873259
751,I think they have compromised with quality
752,Superb video sir👍
753,Sir how much ground clearance and some such basic featurs missing but solid engineering genrman
754,Skoda kushaq is good quality car
755,Gagan bhai camera work improve karao pls. Thoda wide mein liya karo. Bahut nazdeek se shaots hain kuch samajh nahi aa raha.
756,Kushaq.....bole to koi shak 😎🤟
757,Disel
758,"Their is driving mode like eco,sport,city and also terrain mode like mud,snow,rain 

Their is no curtain on rear 

Their is mood light or ambient 

Engine start and stop can be done with key or not"
759,"Lost job
Seeing u tube"
760,chu bonnet kitna jorse patkoge
761,"Hello Everyone, as i have heard Mr. Zac Hollis in many interviews ....he seems confident about his 2.0 plans.... if Skoda India introduces 1) Premium Hatchback 5 seater (ex. Fabia) = 5.99 for Base - 8.99 for Top Variant.  2) Small SUV (Kushaq - 5 seater) = 7.99 for Base -12.99 for Top Variant. 3) Entry Level sedan 5 seater = 7.49 Base - Top Variant 12.99. 4) Premium Level sedan 12.99 Lac Base - Top Variant 17.99 Lac. 5) Premium SUV 5 Seater = 15.99 Lac Base - Top Variant 18.99 Lac. 6) Entry Level SUV 7 Seater = 19.99 Lac Base - Top Variant 24.99 Lac. if this strategy is followed even only with petrol engines skoda will do a better job in india. The current sales will be doubled in next 2 years and every year the growth of 15-20 % can be seen"
762,"Hello Everyone, as i have heard Mr. Zac Hollis in many interviews ....he seems confident about his 2.0 plans.... if Skoda India introduces 1) Premium Hatchback 5 seater (ex. Fabia) = 5.99 for Base - 8.99 for Top Variant.  2) Small SUV (Kushaq - 5 seater) = 7.99 for Base -12.99 for Top Variant. 3) Entry Level sedan 5 seater = 7.49 Base - Top Variant 12.99. 4) Premium Level sedan 12.99 Lac Base - Top Variant 17.99 Lac. 5) Premium SUV 5 Seater = 15.99 Lac Base - Top Variant 18.99 Lac. 6) Entry Level SUV 7 Seater = 19.99 Lac Base - Top Variant 24.99 Lac. if this strategy is followed even only with petrol engines skoda will do a better job in india. The current sales will be doubled in next 2 years and every year the growth of 15-20 % can be seen."
763,You have not made a perfect shoot it was over zoomed and full look of vedhicle was not showed
764,Price should be competitive to kiger and sonet 😎😀😂
765,"👎👎👎👎 SCODA all cars have major problems in engines most likely in all injectors in every 1 to 2 years you have to change all injectors their are 4 injectors in a car and cost of per injector is around 30,000/- so scoda companies cars are not recommended to anyone shame on company 👎👎👎👎🥵🥵🥵🥵"
766,Is there sunroof at the lowest model?
767,Boycott MG hector and other Chinese brands
768,Gadi ka properly Full view looks to dikhao pehle. Gaddi looms pe bikti hai.Features log bad me dekhte hai.
769,It is sad that Kushaq will not be sold in Europe.
770,Dear Skoda kindly make a check on service and spare cost. Rest is great
771,VW fails again in indian market
772,Taco meter with 80
